,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
961,Big Daddy,1999,6.4,64.0,42.0,235K
962,The Mummy,1999,7.1,71.0,48.0,463K
963,Runaway Bride,1999,5.6,56.0,39.0,105K
964, The Blair Witch Project,1999,6.5,65.0,80.0,287K
965, Stuart Little,1999,6.0,60.0,61.0,150K
966, The Green Mile,1999,8.6,86.0,61.0,1.4M
967, American Beauty,1999,8.3,83.0,84.0,1.2M
968, The World Is Not Enough,1999,6.4,64.0,57.0,210K
969, Double Jeopardy,1999,6.5,65.0,41.0,96K
970, Notting Hill,1999,7.2,72.0,68.0,344K
971, Wild Wild West,1999,4.9,49.0,40.0,168K
972, Analyze This,1999,6.7,67.0,60.0,162K
973, The General's Daughter,1999,6.4,64.0,47.0,64K
974, American Pie,1999,7.0,70.0,58.0,435K
975, Sleepy Hollow,1999,7.3,73.0,65.0,385K
976, Inspector Gadget,1999,4.2,42.0,36.0,51K
977, The Haunting,1999,5.0,50.0,42.0,81K
978, Entrapment,1999,6.3,63.0,54.0,124K
979, Payback,1999,7.1,71.0,46.0,146K
980,How the Grinch Stole Christmas,2000,6.3,63.0,46.0,292K
981,Cast Away,2000,7.8,78.0,74.0,641K
982,Mission: Impossible II,2000,6.1,61.0,59.0,379K
983,Gladiator,2000,8.5,85.0,67.0,1.6M
984,What Women Want,2000,6.4,64.0,47.0,223K
985,The Perfect Storm,2000,6.5,65.0,59.0,178K
986,Meet the Parents,2000,7.0,70.0,73.0,356K
987,X-Men,2000,7.3,73.0,64.0,649K
988,Scary Movie,2000,6.3,63.0,48.0,288K
989, What Lies Beneath,2000,6.6,66.0,51.0,136K
990, Dinosaur,2000,6.4,64.0,56.0,67K
991," Crouching Tiger, Hidden Dragon",2000,7.9,79.0,94.0,282K
992, Erin Brockovich,2000,7.4,74.0,73.0,222K
993, Charlie's Angels,2000,5.6,56.0,52.0,197K
994, Traffic,2000,7.6,76.0,86.0,220K
995, Nutty Professor II: The Klumps,2000,4.5,45.0,38.0,53K
996, Big Momma's House,2000,5.2,52.0,33.0,91K
997, Remember the Titans,2000,7.8,78.0,48.0,233K
998, The Patriot,2000,7.2,72.0,63.0,294K
999, Chicken Run,2000,7.1,71.0,88.0,213K
1000, Miss Congeniality,2000,6.3,63.0,43.0,231K
1001, Gone in 60 Seconds,2000,6.5,65.0,35.0,296K
1002, Unbreakable,2000,7.3,73.0,62.0,443K
1003," Me, Myself & Irene",2000,6.6,66.0,49.0,252K
1004, Space Cowboys,2000,6.5,65.0,73.0,86K
1005,Harry Potter and the Sorcerer's Stone,2001,7.6,76.0,65.0,859K
1006,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,89.0,92.0,2M
1007,"Monsters, Inc.",2001,8.1,81.0,79.0,982K
1008,Shrek,2001,7.9,79.0,84.0,738K
1009,Rush Hour 2,2001,6.7,67.0,48.0,240K
1010,The Mummy Returns,2001,6.4,64.0,48.0,347K
1011,Pearl Harbor,2001,6.2,62.0,44.0,353K
1012,Ocean's Eleven,2001,7.7,77.0,74.0,622K
1013,Jurassic Park III,2001,5.9,59.0,42.0,342K
1014, Planet of the Apes,2001,5.7,57.0,50.0,232K
1015, A Beautiful Mind,2001,8.2,82.0,72.0,990K
1016, Hannibal,2001,6.8,68.0,57.0,294K
1017, American Pie 2,2001,6.4,64.0,43.0,271K
1018, The Fast and the Furious,2001,6.8,68.0,58.0,421K
1019, Lara Croft: Tomb Raider,2001,5.8,58.0,33.0,219K
1020, Dr. Dolittle 2,2001,4.7,47.0,49.0,47K
1021, Spy Kids,2001,5.6,56.0,71.0,128K
1022, Black Hawk Down,2001,7.7,77.0,74.0,425K
1023, The Princess Diaries,2001,6.4,64.0,52.0,165K
1024, Vanilla Sky,2001,6.9,69.0,45.0,286K
1025, The Others,2001,7.6,76.0,74.0,394K
1026, Legally Blonde,2001,6.5,65.0,59.0,250K
1027, America's Sweethearts,2001,5.7,57.0,44.0,60K
1028, Cats & Dogs,2001,5.2,52.0,47.0,63K
1029, Save the Last Dance,2001,6.2,62.0,53.0,66K
1030,Spider-Man,2002,7.4,74.0,73.0,883K
1031,The Lord of the Rings: The Two Towers,2002,8.8,88.0,87.0,1.8M
1032,Star Wars: Episode II - Attack of the Clones,2002,6.6,66.0,54.0,762K
1033,Harry Potter and the Chamber of Secrets,2002,7.4,74.0,63.0,695K
1034,My Big Fat Greek Wedding,2002,6.6,66.0,62.0,145K
1035,Signs,2002,6.8,68.0,59.0,387K
1036,Austin Powers in Goldmember,2002,6.2,62.0,62.0,223K
1037,Men in Black II,2002,6.2,62.0,49.0,405K
1038,Ice Age,2002,7.5,75.0,61.0,521K
1039, Chicago,2002,7.2,72.0,81.0,244K
1040, Catch Me If You Can,2002,8.1,81.0,75.0,1.1M
1041, Die Another Day,2002,6.1,61.0,56.0,230K
1042, Scooby-Doo,2002,5.3,53.0,35.0,126K
1043, Lilo & Stitch,2002,7.3,73.0,74.0,213K
1044, xXx,2002,5.8,58.0,48.0,187K
1045, The Santa Clause 2,2002,5.7,57.0,48.0,64K
1046, Minority Report,2002,7.6,76.0,80.0,586K
1047, The Ring,2002,7.1,71.0,57.0,376K
1048, Sweet Home Alabama,2002,6.2,62.0,45.0,124K
1049, Mr. Deeds,2002,5.8,58.0,24.0,153K
1050, The Bourne Identity,2002,7.8,78.0,68.0,578K
1051, The Sum of All Fears,2002,6.4,64.0,45.0,125K
1052, 8 Mile,2002,7.2,72.0,77.0,322K
1053, Road to Perdition,2002,7.7,77.0,72.0,285K
1054, Panic Room,2002,6.8,68.0,65.0,298K
1055,Finding Nemo,2003,8.2,82.0,90.0,1.1M
1056,The Lord of the Rings: The Return of the King,2003,9.0,90.0,94.0,2M
1057,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,81.0,63.0,1.2M
1058,The Matrix Reloaded,2003,7.2,72.0,62.0,633K
1059,Bruce Almighty,2003,6.8,68.0,46.0,435K
1060,X2,2003,7.4,74.0,68.0,578K
1061,Elf,2003,7.1,71.0,66.0,311K
1062,Terminator 3: Rise of the Machines,2003,6.3,63.0,66.0,419K
1063,The Matrix Revolutions,2003,6.7,67.0,47.0,545K
1064, Cheaper by the Dozen,2003,5.9,59.0,46.0,109K
1065, Bad Boys II,2003,6.6,66.0,38.0,268K
1066, Anger Management,2003,6.2,62.0,52.0,229K
1067, Bringing Down the House,2003,5.6,56.0,39.0,39K
1068, Hulk,2003,5.6,56.0,54.0,279K
1069, 2 Fast 2 Furious,2003,5.9,59.0,38.0,299K
1070, Something's Gotta Give,2003,6.7,67.0,66.0,130K
1071, Seabiscuit,2003,7.3,73.0,72.0,77K
1072, S.W.A.T.,2003,6.1,61.0,45.0,154K
1073, Spy Kids 3: Game Over,2003,4.4,44.0,57.0,67K
1074, The Last Samurai,2003,7.8,78.0,55.0,473K
1075, Freaky Friday,2003,6.3,63.0,70.0,153K
1076, Scary Movie 3,2003,5.5,55.0,49.0,159K
1077, The Italian Job,2003,7.0,70.0,68.0,390K
1078, How to Lose a Guy in 10 Days,2003,6.5,65.0,45.0,272K
1079, American Wedding,2003,6.3,63.0,43.0,218K
1080,Shrek 2,2004,7.3,73.0,75.0,507K
1081,Spider-Man 2,2004,7.5,75.0,83.0,712K
1082,The Passion of the Christ,2004,7.2,72.0,47.0,252K
1083,Meet the Fockers,2004,6.3,63.0,41.0,287K
1084,The Incredibles,2004,8.0,80.0,90.0,812K
1085,Harry Potter and the Prisoner of Azkaban,2004,7.9,79.0,82.0,694K
1086,The Day After Tomorrow,2004,6.5,65.0,47.0,478K
1087,The Polar Express,2004,6.6,66.0,61.0,242K
1088,The Bourne Supremacy,2004,7.7,77.0,73.0,488K
1089, National Treasure,2004,6.9,69.0,40.0,356K
1090, Shark Tale,2004,6.0,60.0,48.0,200K
1091," I, Robot",2004,7.1,71.0,59.0,577K
1092, Troy,2004,7.3,73.0,56.0,573K
1093, Ocean's Twelve,2004,6.5,65.0,58.0,415K
1094, 50 First Dates,2004,6.8,68.0,48.0,384K
1095, Van Helsing,2004,6.1,61.0,35.0,286K
1096, Fahrenheit 9/11,2004,7.5,75.0,67.0,133K
1097, A Series of Unfortunate Events,2004,6.8,68.0,62.0,222K
1098, Dodgeball: A True Underdog Story,2004,6.7,67.0,55.0,268K
1099, The Village,2004,6.6,66.0,44.0,279K
1100, The Grudge,2004,5.9,59.0,49.0,151K
1101, The Aviator,2004,7.5,75.0,77.0,385K
1102, Collateral,2004,7.5,75.0,71.0,434K
1103, Million Dollar Baby,2004,8.1,81.0,86.0,724K
1104, The Princess Diaries 2: Royal Engagement,2004,5.8,58.0,43.0,89K
1105,Star Wars: Episode III - Revenge of the Sith,2005,7.6,76.0,68.0,849K
1106,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,69.0,75.0,429K
1107,Harry Potter and the Goblet of Fire,2005,7.7,77.0,81.0,684K
1108,War of the Worlds,2005,6.5,65.0,73.0,477K
1109,King Kong,2005,7.2,72.0,81.0,448K
1110,Wedding Crashers,2005,7.0,70.0,64.0,377K
1111,Batman Begins,2005,8.2,82.0,70.0,1.6M
1112,Charlie and the Chocolate Factory,2005,6.7,67.0,72.0,531K
1113,Madagascar,2005,6.9,69.0,57.0,439K
1114, Mr. & Mrs. Smith,2005,6.5,65.0,55.0,544K
1115, Hitch,2005,6.6,66.0,58.0,336K
1116, The Longest Yard,2005,6.4,64.0,48.0,196K
1117, Fantastic Four,2005,5.7,57.0,40.0,345K
1118, Chicken Little,2005,5.7,57.0,48.0,101K
1119, Robots,2005,6.4,64.0,64.0,163K
1120, Walk the Line,2005,7.8,78.0,72.0,267K
1121, The Pacifier,2005,5.6,56.0,30.0,101K
1122, Fun with Dick and Jane,2005,6.2,62.0,47.0,155K
1123, The 40-Year-Old Virgin,2005,7.1,71.0,73.0,469K
1124, Flightplan,2005,6.3,63.0,53.0,172K
1125, Saw II,2005,6.6,66.0,40.0,277K
1126, Brokeback Mountain,2005,7.7,77.0,87.0,384K
1127, Monster-in-Law,2005,5.6,56.0,31.0,66K
1128, Are We There Yet?,2005,4.8,48.0,27.0,35K
1129, Cheaper by the Dozen 2,2005,5.5,55.0,34.0,63K
1130,Pirates of the Caribbean: Dead Man's Chest,2006,7.4,74.0,53.0,770K
1131,Night at the Museum,2006,6.5,65.0,48.0,379K
1132,Cars,2006,7.2,72.0,73.0,473K
1133,X-Men: The Last Stand,2006,6.6,66.0,58.0,542K
1134,The Da Vinci Code,2006,6.6,66.0,46.0,460K
1135,300,2006,7.6,76.0,52.0,867K
1136,Superman Returns,2006,6.1,61.0,72.0,292K
1137,Happy Feet,2006,6.4,64.0,77.0,201K
1138,Ice Age: The Meltdown,2006,6.8,68.0,59.0,298K
1139, Casino Royale,2006,8.0,80.0,80.0,696K
1140, The Pursuit of Happyness,2006,8.0,80.0,64.0,563K
1141, Over the Hedge,2006,6.7,67.0,67.0,190K
1142, Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,66.0,201K
1143, Click,2006,6.4,64.0,45.0,358K
1144, Mission: Impossible III,2006,6.9,69.0,66.0,392K
1145, The Departed,2006,8.5,85.0,85.0,1.4M
1146, Borat,2006,7.4,74.0,89.0,444K
1147, The Devil Wears Prada,2006,6.9,69.0,62.0,471K
1148, The Break-Up,2006,5.8,58.0,46.0,139K
1149, Dreamgirls,2006,6.6,66.0,76.0,77K
1150, Scary Movie 4,2006,5.1,51.0,40.0,130K
1151, Failure to Launch,2006,5.6,56.0,47.0,86K
1152, Inside Man,2006,7.6,76.0,76.0,400K
1153, Open Season,2006,6.1,61.0,49.0,106K
1154, The Santa Clause 3: The Escape Clause,2006,4.8,48.0,32.0,43K
1155,Spider-Man 3,2007,6.3,63.0,59.0,640K
1156,Shrek the Third,2007,6.1,61.0,58.0,334K
1157,Transformers,2007,7.0,70.0,61.0,677K
1158,Pirates of the Caribbean: At World's End,2007,7.1,71.0,50.0,696K
1159,Harry Potter and the Order of the Phoenix,2007,7.5,75.0,71.0,636K
1160,I Am Legend,2007,7.2,72.0,65.0,818K
1161,The Bourne Ultimatum,2007,8.0,80.0,85.0,659K
1162,National Treasure: Book of Secrets,2007,6.5,65.0,48.0,254K
1163,Alvin and the Chipmunks,2007,5.2,52.0,39.0,95K
1164, Ratatouille,2007,8.1,81.0,96.0,830K
1165, The Simpsons Movie,2007,7.3,73.0,80.0,351K
1166, Wild Hogs,2007,5.8,58.0,27.0,124K
1167, Knocked Up,2007,6.9,69.0,85.0,385K
1168, Juno,2007,7.4,74.0,81.0,550K
1169, Rush Hour 3,2007,6.2,62.0,44.0,184K
1170, Live Free or Die Hard,2007,7.1,71.0,69.0,421K
1171, Fantastic Four: Rise of the Silver Surfer,2007,5.6,56.0,45.0,278K
1172, American Gangster,2007,7.8,78.0,76.0,454K
1173, Enchanted,2007,7.1,71.0,75.0,218K
1174, Bee Movie,2007,6.1,61.0,54.0,181K
1175, Superbad,2007,7.6,76.0,76.0,635K
1176, I Now Pronounce You Chuck & Larry,2007,5.9,59.0,37.0,154K
1177, Hairspray,2007,6.7,67.0,81.0,139K
1178, Blades of Glory,2007,6.3,63.0,64.0,178K
1179, Ocean's Thirteen,2007,6.9,69.0,62.0,368K
1180,The Dark Knight,2008,9.0,90.0,84.0,2.9M
1181,Iron Man,2008,7.9,79.0,79.0,1.1M
1182,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,62.0,65.0,493K
1183,Hancock,2008,6.4,64.0,49.0,513K
1184,WALL·E,2008,8.4,84.0,95.0,1.2M
1185,Kung Fu Panda,2008,7.6,76.0,74.0,525K
1186,Twilight,2008,5.3,53.0,56.0,489K
1187,Madagascar: Escape 2 Africa,2008,6.6,66.0,61.0,249K
1188,Quantum of Solace,2008,6.5,65.0,58.0,472K
1189, Horton Hears a Who!,2008,6.8,68.0,71.0,151K
1190, Sex and the City,2008,5.7,57.0,53.0,128K
1191, Gran Torino,2008,8.1,81.0,73.0,817K
1192, Taken,2008,7.7,77.0,51.0,636K
1193, Mamma Mia!,2008,6.5,65.0,51.0,276K
1194, Marley & Me,2008,7.0,70.0,53.0,168K
1195, The Chronicles of Narnia: Prince Caspian,2008,6.5,65.0,62.0,226K
1196, Slumdog Millionaire,2008,8.0,80.0,84.0,880K
1197, The Incredible Hulk,2008,6.6,66.0,61.0,525K
1198, Wanted,2008,6.7,67.0,64.0,410K
1199, Get Smart,2008,6.5,65.0,54.0,229K
1200, The Curious Case of Benjamin Button,2008,7.8,78.0,70.0,698K
1201, Four Christmases,2008,5.7,57.0,41.0,81K
1202, Bolt,2008,6.8,68.0,67.0,230K
1203, Tropic Thunder,2008,7.1,71.0,71.0,450K
1204, Bedtime Stories,2008,6.0,60.0,33.0,102K
1205,Avatar,2009,7.9,79.0,83.0,1.4M
1206,Transformers: Revenge of the Fallen,2009,6.0,60.0,35.0,430K
1207,Harry Potter and the Half-Blood Prince,2009,7.6,76.0,78.0,598K
1208,The Twilight Saga: New Moon,2009,4.8,48.0,44.0,301K
1209,Up,2009,8.3,83.0,88.0,1.1M
1210,The Hangover,2009,7.7,77.0,73.0,850K
1211,Star Trek,2009,7.9,79.0,82.0,621K
1212,The Blind Side,2009,7.6,76.0,53.0,362K
1213,Alvin and the Chipmunks: The Squeakquel,2009,4.5,45.0,41.0,55K
1214, Sherlock Holmes,2009,7.6,76.0,57.0,673K
1215, Monsters vs. Aliens,2009,6.4,64.0,56.0,177K
1216, Ice Age: Dawn of the Dinosaurs,2009,6.9,69.0,50.0,265K
1217, X-Men Origins: Wolverine,2009,6.5,65.0,40.0,532K
1218, Night at the Museum: Battle of the Smithsonian,2009,6.0,60.0,42.0,213K
1219, 2012,2009,5.8,58.0,49.0,399K
1220, The Proposal,2009,6.8,68.0,48.0,362K
1221, Fast & Furious,2009,6.5,65.0,46.0,312K
1222, G.I. Joe: The Rise of Cobra,2009,5.7,57.0,32.0,215K
1223, A Christmas Carol,2009,6.8,68.0,55.0,130K
1224, Angels & Demons,2009,6.7,67.0,48.0,310K
1225, Terminator Salvation,2009,6.5,65.0,49.0,378K
1226, Cloudy with a Chance of Meatballs,2009,6.9,69.0,66.0,259K
1227, Inglourious Basterds,2009,8.4,84.0,69.0,1.6M
1228, G-Force,2009,5.1,51.0,41.0,50K
1229, District 9,2009,7.9,79.0,81.0,719K
1230,Toy Story 3,2010,8.3,83.0,92.0,895K
1231,Alice in Wonderland,2010,6.4,64.0,53.0,442K
1232,Iron Man 2,2010,6.9,69.0,57.0,871K
1233,The Twilight Saga: Eclipse,2010,5.1,51.0,58.0,262K
1234,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,77.0,65.0,602K
1235,Inception,2010,8.8,88.0,74.0,2.6M
1236,Despicable Me,2010,7.6,76.0,72.0,586K
1237,Shrek Forever After,2010,6.3,63.0,58.0,226K
1238,How to Train Your Dragon,2010,8.1,81.0,75.0,804K
1239, Tangled,2010,7.7,77.0,71.0,497K
1240, The Karate Kid,2010,6.2,62.0,61.0,207K
1241, Tron: Legacy,2010,6.8,68.0,49.0,357K
1242, True Grit,2010,7.6,76.0,80.0,358K
1243, Clash of the Titans,2010,5.8,58.0,39.0,293K
1244, Grown Ups,2010,6.0,60.0,30.0,278K
1245, Megamind,2010,7.3,73.0,63.0,297K
1246, Little Fockers,2010,5.5,55.0,27.0,119K
1247, The King's Speech,2010,8.0,80.0,88.0,709K
1248, The Last Airbender,2010,4.0,40.0,20.0,175K
1249, Shutter Island,2010,8.2,82.0,63.0,1.5M
1250, The Other Guys,2010,6.6,66.0,64.0,289K
1251, Salt,2010,6.4,64.0,65.0,331K
1252, Jackass 3D,2010,7.0,70.0,56.0,69K
1253, Valentine's Day,2010,5.7,57.0,34.0,126K
1254, Black Swan,2010,8.0,80.0,79.0,828K
1255,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,81.0,85.0,952K
1256,Transformers: Dark of the Moon,2011,6.2,62.0,42.0,433K
1257,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,49.0,45.0,255K
1258,The Hangover Part II,2011,6.5,65.0,44.0,536K
1259,Pirates of the Caribbean: On Stranger Tides,2011,6.6,66.0,45.0,566K
1260,Fast Five,2011,7.3,73.0,66.0,408K
1261,Mission: Impossible - Ghost Protocol,2011,7.4,74.0,73.0,530K
1262,Cars 2,2011,6.2,62.0,57.0,219K
1263,Sherlock Holmes: A Game of Shadows,2011,7.4,74.0,48.0,482K
1264, Thor,2011,7.0,70.0,57.0,903K
1265, Rise of the Planet of the Apes,2011,7.6,76.0,68.0,572K
1266, Captain America: The First Avenger,2011,6.9,69.0,66.0,900K
1267, The Help,2011,8.1,81.0,62.0,494K
1268, Bridesmaids,2011,6.8,68.0,75.0,310K
1269, Kung Fu Panda 2,2011,7.3,73.0,67.0,323K
1270, Puss in Boots,2011,6.6,66.0,65.0,193K
1271, X-Men: First Class,2011,7.7,77.0,65.0,726K
1272, Rio,2011,6.9,69.0,63.0,250K
1273, The Smurfs,2011,5.4,54.0,30.0,97K
1274, Alvin and the Chipmunks: Chipwrecked,2011,4.4,44.0,24.0,40K
1275, Super 8,2011,7.0,70.0,72.0,368K
1276, Rango,2011,7.3,73.0,75.0,294K
1277, Horrible Bosses,2011,6.9,69.0,57.0,471K
1278, Green Lantern,2011,5.5,55.0,39.0,297K
1279, Hop,2011,5.4,54.0,41.0,37K
1280,The Avengers,2012,8.0,80.0,69.0,1.5M
1281,The Dark Knight Rises,2012,8.4,84.0,78.0,1.8M
1282,The Hunger Games,2012,7.2,72.0,68.0,1M
1283,Skyfall,2012,7.8,78.0,81.0,733K
1284,The Hobbit: An Unexpected Journey,2012,7.8,78.0,58.0,875K
1285,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,55.0,52.0,264K
1286,The Amazing Spider-Man,2012,6.9,69.0,66.0,705K
1287,Brave,2012,7.1,71.0,69.0,444K
1288,Ted,2012,6.9,69.0,62.0,659K
1289, Madagascar 3: Europe's Most Wanted,2012,6.8,68.0,60.0,199K
1290, The Lorax,2012,6.4,64.0,46.0,131K
1291, Wreck-It Ralph,2012,7.7,77.0,72.0,460K
1292, Lincoln,2012,7.3,73.0,87.0,273K
1293, Men in Black³,2012,6.8,68.0,58.0,388K
1294, Django Unchained,2012,8.5,85.0,81.0,1.7M
1295, Ice Age: Continental Drift,2012,6.5,65.0,49.0,226K
1296, Snow White and the Huntsman,2012,6.1,61.0,57.0,303K
1297, Les Misérables,2012,7.5,75.0,63.0,347K
1298, Hotel Transylvania,2012,7.0,70.0,47.0,282K
1299, Taken 2,2012,6.2,62.0,45.0,323K
1300, 21 Jump Street,2012,7.2,72.0,69.0,601K
1301, Argo,2012,7.7,77.0,86.0,640K
1302, Silver Linings Playbook,2012,7.7,77.0,81.0,744K
1303, Prometheus,2012,7.0,70.0,64.0,646K
1304, Safe House,2012,6.7,67.0,52.0,236K
1305,The Hunger Games: Catching Fire,2013,7.5,75.0,76.0,724K
1306,Iron Man 3,2013,7.1,71.0,62.0,902K
1307,Frozen,2013,7.4,74.0,75.0,666K
1308,Despicable Me 2,2013,7.3,73.0,62.0,427K
1309,Man of Steel,2013,7.1,71.0,55.0,814K
1310,Gravity,2013,7.7,77.0,96.0,865K
1311,Monsters University,2013,7.2,72.0,65.0,392K
1312,The Hobbit: The Desolation of Smaug,2013,7.8,78.0,66.0,708K
1313,Fast & Furious 6,2013,7.0,70.0,61.0,418K
1314, Oz the Great and Powerful,2013,6.3,63.0,44.0,215K
1315, Star Trek Into Darkness,2013,7.7,77.0,72.0,498K
1316, Thor: The Dark World,2013,6.8,68.0,54.0,727K
1317, World War Z,2013,7.0,70.0,63.0,723K
1318, The Croods,2013,7.1,71.0,55.0,233K
1319, The Heat,2013,6.6,66.0,60.0,182K
1320, We're the Millers,2013,7.0,70.0,44.0,488K
1321, American Hustle,2013,7.2,72.0,90.0,501K
1322, The Great Gatsby,2013,7.2,72.0,55.0,599K
1323, The Conjuring,2013,7.5,75.0,68.0,557K
1324, Identity Thief,2013,5.7,57.0,35.0,141K
1325, Grown Ups 2,2013,5.4,54.0,19.0,170K
1326, The Wolverine,2013,6.7,67.0,61.0,494K
1327, Anchorman 2: The Legend Continues,2013,6.3,63.0,61.0,193K
1328, Lone Survivor,2013,7.5,75.0,60.0,308K
1329, G.I. Joe: Retaliation,2013,5.7,57.0,41.0,188K
1330,American Sniper,2014,7.3,73.0,73.0,531K
1331,The Hunger Games: Mockingjay - Part 1,2014,6.6,66.0,64.0,505K
1332,Guardians of the Galaxy,2014,8.0,80.0,76.0,1.3M
1333,Captain America: The Winter Soldier,2014,7.7,77.0,70.0,902K
1334,The Lego Movie,2014,7.7,77.0,83.0,390K
1335,The Hobbit: The Battle of the Five Armies,2014,7.4,74.0,59.0,574K
1336,Transformers: Age of Extinction,2014,5.6,56.0,32.0,332K
1337,Maleficent,2014,6.9,69.0,56.0,401K
1338,X-Men: Days of Future Past,2014,7.9,79.0,75.0,747K
1339, Big Hero 6,2014,7.8,78.0,74.0,504K
1340, Dawn of the Planet of the Apes,2014,7.6,76.0,79.0,480K
1341, The Amazing Spider-Man 2,2014,6.6,66.0,53.0,540K
1342, Godzilla,2014,6.4,64.0,62.0,443K
1343, 22 Jump Street,2014,7.0,70.0,71.0,408K
1344, Teenage Mutant Ninja Turtles,2014,5.8,58.0,31.0,221K
1345, Interstellar,2014,8.7,87.0,74.0,2.1M
1346, How to Train Your Dragon 2,2014,7.8,78.0,77.0,365K
1347, Gone Girl,2014,8.1,81.0,79.0,1.1M
1348, Divergent,2014,6.6,66.0,48.0,491K
1349, Neighbors,2014,6.3,63.0,68.0,330K
1350, Ride Along,2014,6.1,61.0,41.0,123K
1351, Rio 2,2014,6.3,63.0,49.0,101K
1352, Kingsman: The Secret Service,2014,7.7,77.0,60.0,718K
1353, Into the Woods,2014,5.9,59.0,69.0,148K
1354, Lucy,2014,6.4,64.0,62.0,537K
1355,Star Wars: Episode VII - The Force Awakens,2015,7.8,78.0,80.0,976K
1356,Jurassic World,2015,6.9,69.0,59.0,682K
1357,Avengers: Age of Ultron,2015,7.3,73.0,66.0,925K
1358,Inside Out,2015,8.1,81.0,94.0,789K
1359,Furious 7,2015,7.1,71.0,67.0,416K
1360,Minions,2015,6.4,64.0,56.0,261K
1361,The Hunger Games: Mockingjay - Part 2,2015,6.5,65.0,65.0,375K
1362,The Martian,2015,8.0,80.0,80.0,930K
1363,Cinderella,2015,6.9,69.0,67.0,191K
1364, Spectre,2015,6.8,68.0,60.0,468K
1365, Mission: Impossible - Rogue Nation,2015,7.4,74.0,75.0,412K
1366, Pitch Perfect 2,2015,6.4,64.0,63.0,171K
1367, The Revenant,2015,8.0,80.0,76.0,878K
1368, Ant-Man,2015,7.2,72.0,64.0,724K
1369, Home,2015,6.5,65.0,55.0,112K
1370, Hotel Transylvania 2,2015,6.6,66.0,44.0,144K
1371, Fifty Shades of Grey,2015,4.2,42.0,46.0,337K
1372, The SpongeBob Movie: Sponge Out of Water,2015,6.0,60.0,62.0,61K
1373, Straight Outta Compton,2015,7.8,78.0,72.0,219K
1374, San Andreas,2015,6.1,61.0,43.0,258K
1375, Mad Max: Fury Road,2015,8.1,81.0,90.0,1.1M
1376, Daddy's Home,2015,6.2,62.0,42.0,129K
1377, The Divergent Series: Insurgent,2015,6.2,62.0,42.0,256K
1378, The Peanuts Movie,2015,7.0,70.0,67.0,50K
1379, The Good Dinosaur,2015,6.7,67.0,66.0,128K
1380,Rogue One: A Star Wars Story,2016,7.8,78.0,65.0,689K
1381,Finding Dory,2016,7.2,72.0,77.0,305K
1382,Captain America: Civil War,2016,7.8,78.0,75.0,853K
1383,The Secret Life of Pets,2016,6.5,65.0,61.0,218K
1384,The Jungle Book,2016,7.4,74.0,77.0,293K
1385,Deadpool,2016,8.0,80.0,65.0,1.1M
1386,Zootopia,2016,8.0,80.0,78.0,549K
1387,Batman v Superman: Dawn of Justice,2016,6.5,65.0,44.0,754K
1388,Suicide Squad,2016,5.9,59.0,40.0,724K
1389, Sing,2016,7.1,71.0,59.0,192K
1390, Moana,2016,7.6,76.0,81.0,381K
1391, Fantastic Beasts and Where to Find Them,2016,7.2,72.0,66.0,509K
1392, Doctor Strange,2016,7.5,75.0,72.0,808K
1393, Hidden Figures,2016,7.8,78.0,74.0,257K
1394, Jason Bourne,2016,6.6,66.0,58.0,243K
1395, Star Trek Beyond,2016,7.0,70.0,68.0,259K
1396, X-Men: Apocalypse,2016,6.9,69.0,52.0,463K
1397, Trolls,2016,6.4,64.0,55.0,92K
1398, La La Land,2016,8.0,80.0,94.0,676K
1399, Kung Fu Panda 3,2016,7.1,71.0,66.0,191K
1400, Split,2016,7.3,73.0,63.0,558K
1401, Ghostbusters,2016,6.8,68.0,60.0,247K
1402, Central Intelligence,2016,6.3,63.0,52.0,214K
1403, The Legend of Tarzan,2016,6.2,62.0,44.0,189K
1404, Sully,2016,7.4,74.0,74.0,299K
1405,Star Wars: Episode VIII - The Last Jedi,2017,6.9,69.0,84.0,674K
1406,Beauty and the Beast,2017,7.1,71.0,65.0,336K
1407,Wonder Woman,2017,7.3,73.0,76.0,701K
1408,Jumanji: Welcome to the Jungle,2017,7.0,70.0,58.0,452K
1409,Guardians of the Galaxy Vol. 2,2017,7.6,76.0,67.0,762K
1410,Spider-Man: Homecoming,2017,7.4,74.0,73.0,723K
1411,It,2017,7.3,73.0,69.0,609K
1412,Thor: Ragnarok,2017,7.9,79.0,74.0,819K
1413,Despicable Me 3,2017,6.2,62.0,49.0,155K
1414, Justice League,2017,6.1,61.0,45.0,480K
1415, Logan,2017,8.1,81.0,77.0,836K
1416, The Fate of the Furious,2017,6.6,66.0,56.0,255K
1417, Coco,2017,8.4,84.0,81.0,595K
1418, Dunkirk,2017,7.8,78.0,94.0,743K
