,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
144, The Seventh Seal,1957,8.1,81.0,88.0,199K
145,Cat on a Hot Tin Roof,1958,7.9,79.0,84.0,54K
146,Separate Tables,1958,7.4,74.0,68.0,8.6K
147,Vertigo,1958,8.3,83.0,100.0,429K
148,The Fly,1958,7.1,71.0,62.0,26K
149, Touch of Evil,1958,8.0,80.0,99.0,110K
150, Elevator to the Gallows,1958,7.9,79.0,94.0,29K
151, The Big Country,1958,7.9,79.0,61.0,21K
152, The Blob,1958,6.3,63.0,58.0,29K
153, Horror of Dracula,1958,7.2,72.0,67.0,28K
154, The Hidden Fortress,1958,8.1,81.0,89.0,42K
155, Gigi,1958,6.6,66.0,82.0,25K
156,Ben-Hur,1959,8.1,81.0,90.0,254K
157,Sleeping Beauty,1959,7.2,72.0,85.0,161K
158,Some Like It Hot,1959,8.2,82.0,98.0,284K
159,Pillow Talk,1959,7.4,74.0,73.0,19K
160,Imitation of Life,1959,7.8,78.0,87.0,18K
161,"Suddenly, Last Summer",1959,7.5,75.0,54.0,17K
162,North by Northwest,1959,8.3,83.0,98.0,347K
163,The Nun's Story,1959,7.5,75.0,78.0,12K
164, Rio Bravo,1959,8.0,80.0,93.0,68K
165, Anatomy of a Murder,1959,8.0,80.0,95.0,72K
166, On the Beach,1959,7.1,71.0,55.0,14K
167, The Diary of Anne Frank,1959,7.4,74.0,59.0,14K
168,Swiss Family Robinson,1960,7.1,71.0,61.0,18K
169,Psycho,1960,8.5,85.0,97.0,721K
170,Spartacus,1960,7.9,79.0,87.0,144K
171,La Dolce Vita,1960,8.0,80.0,95.0,78K
172,Exodus,1960,6.7,67.0,70.0,11K
173,The Apartment,1960,8.3,83.0,94.0,198K
174,BUtterfield 8,1960,6.3,63.0,48.0,7.3K
175,Ocean's Eleven,1960,6.5,65.0,57.0,25K
176, Midnight Lace,1960,6.7,67.0,60.0,6K
177, Bells Are Ringing,1960,6.9,69.0,61.0,3.8K
178, The Grass Is Greener,1960,6.5,65.0,51.0,5.9K
179, The Magnificent Seven,1960,7.7,77.0,74.0,103K
180,One Hundred and One Dalmatians,1961,7.3,73.0,83.0,183K
181,West Side Story,1961,7.6,76.0,86.0,122K
182,The Guns of Navarone,1961,7.5,75.0,72.0,56K
183,El Cid,1961,7.2,72.0,79.0,16K
184,The Absent Minded Professor,1961,6.7,67.0,75.0,9.3K
185,Lover Come Back,1961,7.1,71.0,58.0,8.8K
186, Blue Hawaii,1961,6.1,61.0,58.0,7.6K
187, Babes in Toyland,1961,6.1,61.0,55.0,4.8K
188, The Misfits,1961,7.2,72.0,77.0,24K
189, Splendor in the Grass,1961,7.7,77.0,74.0,23K
190, The Hustler,1961,8.0,80.0,90.0,87K
191, The Pit and the Pendulum,1961,7.0,70.0,78.0,17K
192, The Innocents,1961,7.8,78.0,88.0,33K
193, Paris Blues,1961,6.7,67.0,61.0,4K
194, A Woman Is a Woman,1961,7.3,73.0,71.0,19K
195,How the West Was Won,1962,7.1,71.0,56.0,23K
196,Lawrence of Arabia,1962,8.3,83.0,100.0,315K
197,The Longest Day,1962,7.7,77.0,75.0,59K
198,Dr. No,1962,7.2,72.0,78.0,180K
199,The Music Man,1962,7.7,77.0,76.0,19K
200, Mutiny on the Bounty,1962,7.2,72.0,48.0,18K
201, Lolita,1962,7.5,75.0,79.0,109K
202, The Miracle Worker,1962,8.1,81.0,83.0,21K
203, What Ever Happened to Baby Jane?,1962,8.0,80.0,75.0,62K
204, Hell Is for Heroes,1962,6.9,69.0,76.0,7.5K
205,Cleopatra,1963,7.0,70.0,60.0,38K
206,It's a Mad Mad Mad Mad World,1963,7.5,75.0,59.0,46K
207,Tom Jones,1963,6.4,64.0,77.0,14K
208,Irma la Douce,1963,7.3,73.0,63.0,22K
